# wavelength_um,flux_ratio
2.927495e-01,2.618663e-11
2.930424e-01,2.710082e-11
2.933356e-01,2.835035e-11
2.936291e-01,2.962566e-11
2.939229e-01,3.070133e-11
2.942169e-01,3.111759e-11
2.945113e-01,3.184668e-11
2.948060e-01,3.286149e-11
2.951009e-01,3.417775e-11
2.953962e-01,3.597806e-11
2.956917e-01,3.740222e-11
2.959876e-01,3.835497e-11
2.962837e-01,4.020518e-11
2.965801e-01,4.107474e-11
2.968768e-01,4.161788e-11
2.971739e-01,4.348306e-11
2.974712e-01,4.535878e-11
2.977688e-01,4.720529e-11
2.980667e-01,4.901382e-11
2.983649e-01,5.045467e-11
2.986635e-01,5.162252e-11
2.989623e-01,5.283172e-11
2.992614e-01,5.556969e-11
2.995608e-01,5.857961e-11
2.998605e-01,6.039727e-11
3.001605e-01,6.177454e-11
3.004608e-01,6.364482e-11
3.007614e-01,6.524675e-11
3.010624e-01,6.869696e-11
3.013636e-01,7.222828e-11
3.016651e-01,7.429952e-11
3.019669e-01,7.527532e-11
3.022690e-01,7.727166e-11
3.025714e-01,8.088105e-11
3.028742e-01,8.573797e-11
3.031772e-01,8.984150e-11
3.034805e-01,9.204640e-11
3.037841e-01,9.317315e-11
3.040881e-01,9.363272e-11
3.043923e-01,9.722285e-11
3.046969e-01,1.016958e-10
3.050017e-01,1.079452e-10
3.053069e-01,1.140583e-10
3.056123e-01,1.168660e-10
3.059181e-01,1.170451e-10
3.062242e-01,1.182505e-10
3.065305e-01,1.211990e-10
3.068372e-01,1.272755e-10
3.071442e-01,1.360607e-10
3.074515e-01,1.449538e-10
3.077591e-01,1.485884e-10
3.080670e-01,1.469187e-10
3.083753e-01,1.503994e-10
3.086838e-01,1.554204e-10
3.089926e-01,1.580922e-10
3.093018e-01,1.659612e-10
3.096112e-01,1.830894e-10
3.099210e-01,1.915800e-10
3.102311e-01,1.905863e-10
3.105415e-01,1.937025e-10
3.108522e-01,2.006763e-10
3.111632e-01,2.050991e-10
3.114745e-01,2.036533e-10
3.117861e-01,2.176958e-10
3.120981e-01,2.338806e-10
3.124103e-01,2.440795e-10
3.127229e-01,2.554643e-10
3.130358e-01,2.594591e-10
3.133489e-01,2.537540e-10
3.136624e-01,2.466682e-10
3.139763e-01,2.648420e-10
3.142904e-01,2.909555e-10
3.146048e-01,3.152874e-10
3.149196e-01,3.158421e-10
3.152347e-01,3.151449e-10
3.155501e-01,2.922081e-10
3.158658e-01,3.064215e-10
3.161818e-01,3.371232e-10
3.164982e-01,3.549845e-10
3.168148e-01,3.708920e-10
3.171318e-01,3.542535e-10
3.174491e-01,3.530319e-10
3.177667e-01,3.404934e-10
3.180846e-01,3.689002e-10
3.184029e-01,4.024768e-10
3.187214e-01,4.281005e-10
3.190403e-01,4.432563e-10
3.193595e-01,4.188147e-10
3.196790e-01,3.925785e-10
3.199989e-01,3.857769e-10
3.203190e-01,4.058682e-10
3.206395e-01,4.468216e-10
3.209603e-01,4.827348e-10
3.212814e-01,4.962428e-10
3.216029e-01,4.906812e-10
3.219246e-01,4.575333e-10
3.222467e-01,4.213655e-10
3.225691e-01,4.345288e-10
3.228918e-01,4.346266e-10
3.232149e-01,4.889277e-10
3.235383e-01,5.285361e-10
3.238620e-01,5.466374e-10
3.241860e-01,5.280400e-10
3.245103e-01,5.120554e-10
3.248350e-01,4.612737e-10
3.251600e-01,4.607928e-10
3.254853e-01,4.825281e-10
3.258110e-01,4.980629e-10
3.261370e-01,5.369743e-10
3.264633e-01,5.568993e-10
3.267899e-01,5.638077e-10
3.271168e-01,5.389889e-10
3.274441e-01,5.238992e-10
3.277717e-01,5.045080e-10
3.280997e-01,4.720164e-10
3.284279e-01,5.120520e-10
3.287565e-01,5.506233e-10
3.290854e-01,5.736718e-10
3.294147e-01,5.831633e-10
3.297443e-01,5.805256e-10
3.300742e-01,5.729505e-10
3.304044e-01,5.360943e-10
3.307350e-01,5.404802e-10
3.310659e-01,5.236269e-10
3.313971e-01,5.299520e-10
3.317287e-01,5.598706e-10
3.320606e-01,5.798919e-10
3.323928e-01,5.903585e-10
3.327254e-01,5.919472e-10
3.330583e-01,5.838314e-10
3.333915e-01,5.780211e-10
3.337250e-01,5.476456e-10
3.340589e-01,5.530023e-10
3.343932e-01,5.737727e-10
3.347277e-01,5.841499e-10
3.350626e-01,5.916096e-10
3.353978e-01,5.960422e-10
3.357334e-01,5.968067e-10
3.360693e-01,5.959610e-10
3.364055e-01,5.865458e-10
3.367421e-01,5.821826e-10
3.370790e-01,5.739289e-10
3.374163e-01,5.617126e-10
3.377539e-01,5.737430e-10
3.380918e-01,5.843543e-10
3.384300e-01,5.905927e-10
3.387686e-01,5.932569e-10
3.391076e-01,5.934823e-10
3.394469e-01,5.915931e-10
3.397865e-01,5.894463e-10
3.401264e-01,5.790976e-10
3.404667e-01,5.784646e-10
3.408074e-01,5.845447e-10
3.411483e-01,5.883189e-10
3.414897e-01,5.900860e-10
3.418313e-01,5.905134e-10
3.421733e-01,5.902109e-10
3.425157e-01,5.899943e-10
3.428584e-01,5.889723e-10
3.432014e-01,5.864112e-10
3.435448e-01,5.848035e-10
3.438885e-01,5.789239e-10
3.442325e-01,5.756066e-10
3.445769e-01,5.794715e-10
3.449217e-01,5.823264e-10
3.452668e-01,5.836551e-10
3.456122e-01,5.839655e-10
3.459580e-01,5.838769e-10
3.463041e-01,5.837700e-10
3.466506e-01,5.834338e-10
3.469974e-01,5.820795e-10
3.473446e-01,5.795335e-10
3.476921e-01,5.796801e-10
3.480400e-01,5.800579e-10
3.483882e-01,5.800443e-10
3.487368e-01,5.796828e-10
3.490857e-01,5.792474e-10
3.494349e-01,5.786787e-10
3.497846e-01,5.779634e-10
3.501345e-01,5.771906e-10
3.504848e-01,5.763848e-10
3.508355e-01,5.755470e-10
3.511865e-01,5.746758e-10
3.515379e-01,5.737551e-10
3.518896e-01,5.727589e-10
3.522416e-01,5.716726e-10
3.525941e-01,5.707188e-10
3.529468e-01,5.701546e-10
3.533000e-01,5.696311e-10
3.536534e-01,5.691031e-10
3.540073e-01,5.685662e-10
3.543614e-01,5.680147e-10
3.547160e-01,5.674455e-10
3.550709e-01,5.668549e-10
3.554261e-01,5.662360e-10
3.557817e-01,5.655985e-10
3.561377e-01,5.649369e-10
3.564940e-01,5.642402e-10
